0,6.475988e-08
1,6.127529e-03
2,1.262076e-02
3,1.951256e-02
4,2.683965e-02
5,3.464322e-02
6,4.296963e-02
7,5.187119e-02
8,6.140710e-02
9,7.164455e-02
10,8.266005e-02
11,9.454092e-02
12,1.073872e-01
13,1.213137e-01
14,1.364528e-01
15,1.529571e-01
16,1.710034e-01
17,1.907967e-01
18,2.125747e-01
19,2.366137e-01
20,2.632346e-01
21,2.928092e-01
22,3.257673e-01
23,3.626034e-01
24,4.038793e-01
25,4.502098e-01
26,5.021566e-01
27,5.597025e-01
28,6.204582e-01
29,6.781307e-01
30,7.276651e-01
31,7.691821e-01
32,8.046899e-01
33,8.190321e-01
34,8.337866e-01
35,8.490341e-01
36,8.648648e-01
37,8.813794e-01
38,8.986909e-01
39,9.169256e-01
40,9.362246e-01
41,9.567442e-01
42,9.786550e-01
43,1.002138e+00
44,1.027378e+00
45,1.054547e+00
46,1.083788e+00
47,1.115188e+00
48,1.148765e+00
49,1.184471e+00
50,1.222210e+00
51,1.261853e+00
52,1.303245e+00
53,1.346197e+00
54,1.390483e+00
55,1.435835e+00
56,1.481953e+00
57,1.528515e+00
58,1.575192e+00
59,1.621664e+00
60,1.667631e+00
61,1.712824e+00
