0,2.129617e-08
1,4.880296e-03
2,1.004834e-02
3,1.552976e-02
4,2.135318e-02
5,2.755072e-02
6,3.415853e-02
7,4.121740e-02
8,4.877351e-02
9,5.687929e-02
10,6.559449e-02
11,7.498740e-02
12,8.513637e-02
13,9.613156e-02
14,1.080771e-01
15,1.210938e-01
16,1.353221e-01
17,1.509257e-01
18,1.680964e-01
19,1.870592e-01
20,2.080790e-01
21,2.314678e-01
22,2.575941e-01
23,2.868932e-01
24,3.198814e-01
25,3.571729e-01
26,3.995089e-01
27,4.478096e-01
28,5.032911e-01
29,5.677230e-01
30,6.436801e-01
31,7.313038e-01
32,8.152022e-01
33,8.410208e-01
34,8.657074e-01
35,8.893652e-01
36,9.122109e-01
37,9.344915e-01
38,9.564497e-01
39,9.783142e-01
40,1.000300e+00
41,1.022609e+00
42,1.045433e+00
43,1.068953e+00
44,1.093340e+00
45,1.118749e+00
46,1.145326e+00
47,1.173203e+00
48,1.202501e+00
49,1.233324e+00
50,1.265760e+00
51,1.299866e+00
52,1.335666e+00
53,1.373140e+00
54,1.412215e+00
55,1.452762e+00
56,1.494598e+00
57,1.537482e+00
58,1.581135e+00
59,1.625247e+00
60,1.669496e+00
61,1.713565e+00
